SA2 name,Population density 2020
Buffalo Creek,0
Charles Darwin,0
Coconut Grove,2192.8
East Arm,0.5
Jingili,1404.7
Karama,2372.3
Leanyer,1809.6
Lyons (NT),949.7
Malak - Marrara,936.8
Millner,1693.1
Moil,1920.6
Nightcliff,2626.8
Rapid Creek,1794.4
Tiwi,803.5
Wagaman,2623.5
Wanguri,2120.8
Wulagi,1906.7
Howard Springs,64.8
Humpty Doo,57.9
Koolpinyah,0
Virginia,65
Weddell,3.4
Bakewell,2423.2
Driver,1697.3
Durack - Marlow Lagoon,404.6
Gray,2233
Moulden,1761.3
Palmerston - North,942.5
Palmerston - South,260.5
Rosebery - Bellamack,2313.6
Woodroffe,2118.7
Charles,256.6
East Side,216.6
Flynn (NT),281.6
Larapinta,88.2
Mount Johns,210.7
Petermann - Simpson,0
Ross,13.8
Sandover - Plenty,0
Tanami,0
Yuendumu - Anmatjere,0
Barkly,0
Tennant Creek,78.5
Alligator,0.1
Daly,0.1
Thamarrurr,0.9
Tiwi Islands,0.4
West Arnhem,0.2
Anindilyakwa,1
East Arnhem,0.3
Nhulunbuy,430.4
Elsey,0
Gulf,0.1
Katherine,1.4
Victoria River,0
Aranda,1600
Belconnen,1724.8
Bruce,1324.5
Charnwood,1541
Cook,1775
Dunlop,1985.9
Evatt,1701.5
Florey,1689.4
Flynn (ACT),1607.7
Fraser,791.9
Giralang,1361
Gooromon,0.7
Hawker,1524.3
Higgins,1856.9
Holt,1475.6
Kaleen,1237.6
Latham,1348.9
Lawson,652.3
Macgregor (ACT),1717.7
Macquarie,1660.8
McKellar,2010.6
Melba,1406.8
Page,2359.2
Scullin,2117.8
Spence,1730.8
Weetangera,1673.8
Molonglo Corridor,0.5
West Belconnen,10.1
Hume,50.6
Kowen,0.5
Canberra East,26.6
Canberra Airport,17.9
Majura,2.3
Amaroo,2280.1
Bonner,2663.7
Casey,2600.2
Crace,3220.7
Forde,2421.4
Franklin,3257
Gungahlin,1527.5
Hall,101.8
Harrison,3039.6
Mitchell,0.5
Ngunnawal,2695.5
Nicholls,1030.8
Palmerston,2828.4
Gungahlin - East,0
Gungahlin - West,0
Jacka,260.5
Kenny,1.5
Moncrieff,2288.8
Taylor,308
Throsby,897.6
Acton,802.2
Ainslie,1473.2
Braddon,4600.8
Civic,3413.9
Dickson,1761.2
Downer,2457.5
Hackett,1644.3
Lyneham,1029.6
O`Connor (ACT),1211.3
Turner,3060.4
Watson,1703.7
Black Mountain,0
Campbell,1283.8
Duntroon,812.7
Parkes (ACT) - North,3.6
Reid,1837.3
Russell,6.1
Deakin,836.4
Forrest,1110.6
Griffith (ACT),1949.3
Lake Burley Griffin,0
Narrabundah,1538.4
Parkes (ACT) - South,2.8
Red Hill (ACT),639.6
Yarralumla,429.8
Barton,1420.9
Fyshwick,6
Kingston (ACT),4296.2
Banks,2150.6
Bonython,1282.8
Calwell,1427.2
Chisholm,1649.8
Conder,1089.6
Fadden,948.4
Gilmore,1329.3
Gordon (ACT),1702.5
Gowrie (ACT),1612.6
Greenway,544.9
Isabella Plains,1755.5
Kambah,1309.3
Macarthur,1064.2
Monash,1536.4
Mount Taylor,0.3
Oxley (ACT),1505.8
Richardson,1343.7
Theodore,1190.6
Tuggeranong,0.3
Wanniassa,1363.2
Tuggeranong - West,1.6
Chapman,1495.3
Duffy,1130.7
Fisher,1848.7
Holder,1414.1
Rivett,2042.7
Stirling,1623.3
Waramanga,1585.6
Weston,960.2
Scrivener,1.9
Chifley,1577.2
Curtin,1108.8
Farrer,1624.2
Garran,1358.4
Hughes,1678.8
Isaacs,758.1
Lyons (ACT),1388.7
Mawson,1601.7
O`Malley,412
Pearce,1586.4
Phillip,1659.9
Torrens,1661.4
Arboretum,1.3
Coombs,1642
Denman Prospect,203
Molonglo,0
Molonglo - North,0.5
Wright,2977.4
ACT - South West,1.4
Namadgi,0
